 2.001E+03 8.250E-01 4.267E+02 9.372E-01 6.312E+01 3.492E+01 8.400E-01 -4.160E-01 -1.014E-01 3.094E+02 2.330E+03 1.398E+03 2.334E+03 0.000E+00 0.000E+00 3.128E-01 1.422E-10 1.429E-10 3.064E-11 2.211E-11 8.783E-12 8.869E-12 4.079E-13 2.124E-13
 2.350E+03 1.235E-01 1.849E+02 6.579E-01 7.297E+01 3.261E+01 8.464E-01 -4.188E-01 -8.047E-02 3.643E+02 4.098E+02 2.307E+03 4.104E+02 0.000E+00 0.000E+00 1.062E+00 6.892E-10 6.929E-10 4.806E-09 3.709E-09 2.066E-10 2.088E-10 1.004E-08 5.984E-09
 4.511E+02 6.933E-01 4.574E+02 4.270E-01 5.634E+01 3.983E+01 8.476E-01 -4.329E-01 -8.707E-02 5.731E+01 4.259E+02 7.739E+02 4.423E+02 0.000E+00 0.000E+00 3.087E+02 3.202E-10 3.260E-10 3.564E-09 -1.415E-09 4.337E-11 4.496E-11 5.376E-09 8.467E-10
 9.641E+02 5.077E-01 4.768E+02 4.007E-01 7.098E+01 3.322E+01 8.345E-01 -4.213E-01 -9.340E-02 1.444E+02 6.865E+02 1.695E+03 6.922E+02 0.000E+00 0.000E+00 1.054E+00 2.687E-10 2.698E-10 5.383E-10 1.059E-10 3.115E-11 3.142E-11 1.250E-10 4.836E-12
 2.259E+03 1.674E-01 4.602E+02 9.224E-01 6.409E+01 3.147E+01 8.370E-01 -4.182E-01 -6.953E-02 3.500E+02 5.339E+02 1.588E+03 5.347E+02 0.000E+00 0.000E+00 4.539E-01 1.113E-10 1.118E-10 1.044E-09 8.171E-10 5.388E-12 5.436E-12 4.735E-10 2.903E-10
 5.132E+02 1.303E-01 2.621E+02 1.530E-01 5.504E+01 3.984E+01 8.466E-01 -4.339E-01 -7.411E-02 6.859E+01 9.182E+01 2.463E+03 9.454E+01 0.000E+00 0.000E+00 2.285E+00 -7.428E-10 -3.601E-10 1.418E-07 -4.751E-08 2.347E-10 5.515E-11 8.556E-06 9.601E-07
 1.788E+03 1.076E+00 2.321E+02 9.571E-01 5.759E+01 3.861E+01 8.338E-01 -4.366E-01 -7.621E-02 2.758E+02 2.715E+03 1.235E+03 2.722E+03 0.000E+00 0.000E+00 5.594E-01 4.446E-10 4.477E-10 2.311E-11 1.522E-11 8.581E-11 8.701E-11 2.318E-13 1.006E-13
 9.125E+02 2.193E-01 1.950E+02 2.683E-01 6.110E+01 3.952E+01 8.480E-01 -4.267E-01 -9.220E-02 1.360E+02 2.804E+02 2.405E+03 2.830E+02 0.000E+00 0.000E+00 1.099E-01 1.240E-09 1.251E-09 4.343E-09 6.404E-10 6.632E-10 6.743E-10 8.131E-09 1.768E-10
 1.249E+03 1.054E+00 4.197E+02 7.543E-01 5.848E+01 3.120E+01 8.437E-01 -4.217E-01 -8.824E-02 1.902E+02 1.852E+03 1.134E+03 1.861E+03 0.000E+00 0.000E+00 2.154E-02 2.276E-10 2.287E-10 6.075E-11 2.624E-11 2.243E-11 2.264E-11 1.598E-12 2.980E-13
 1.269E+03 1.093E+00 4.620E+02 4.006E-01 5.645E+01 3.050E+01 8.413E-01 -4.369E-01 -7.029E-02 1.934E+02 1.952E+03 2.169E+03 1.961E+03 0.000E+00 0.000E+00 8.368E-02 1.783E-10 1.791E-10 5.412E-11 2.372E-11 1.376E-11 1.389E-11 1.268E-12 2.435E-13
 1.567E+03 7.737E-01 1.980E+02 1.348E-01 6.593E+01 3.072E+01 8.305E-01 -4.325E-01 -7.937E-02 2.408E+02 1.709E+03 7.784E+03 1.714E+03 0.000E+00 0.000E+00 4.432E-01 9.404E-10 9.438E-10 6.169E-11 3.567E-11 3.836E-10 3.864E-10 1.651E-12 5.518E-13
 1.104E+03 2.586E-01 2.300E+02 9.067E-01 5.999E+01 3.418E+01 8.420E-01 -4.394E-01 -8.030E-02 1.670E+02 4.013E+02 8.550E+02 4.038E+02 0.000E+00 0.000E+00 1.511E-01 8.225E-10 8.272E-10 1.651E-09 5.028E-10 2.924E-10 2.958E-10 1.178E-09 1.093E-10
 4.250E+02 4.959E-01 2.450E+02 3.074E-01 5.915E+01 3.517E+01 8.521E-01 -4.204E-01 -9.199E-02 5.243E+01 2.855E+02 1.029E+03 2.980E+02 0.000E+00 0.000E+00 6.240E+01 1.270E-09 1.288E-09 8.939E-09 -3.628E-09 6.808E-10 7.002E-10 3.371E-08 5.553E-09
 3.244E+02 1.062E+00 2.162E+02 4.849E-01 6.404E+01 3.639E+01 8.445E-01 -4.333E-01 -7.189E-02 3.241E+01 4.523E+02 5.087E+02 4.874E+02 0.000E+00 0.000E+00 3.790E+02 8.718E-10 8.884E-10 5.508E-09 -2.774E-09 3.138E-10 3.259E-10 1.253E-08 3.177E-09
 3.517E+02 6.786E-01 4.541E+02 6.040E-01 6.320E+01 3.064E+01 8.472E-01 -4.371E-01 -6.759E-02 3.809E+01 3.169E+02 4.320E+02 3.375E+02 0.000E+00 0.000E+00 1.325E+02 3.782E-10 3.905E-10 9.801E-09 -4.813E-09 5.955E-11 6.351E-11 4.000E-08 9.646E-09
 2.733E+03 1.558E-01 1.483E+02 2.750E-01 6.960E+01 3.617E+01 8.378E-01 -4.166E-01 -7.499E-02 4.244E+02 6.014E+02 6.351E+03 6.021E+02 0.000E+00 0.000E+00 1.385E+00 9.414E-10 9.457E-10 8.940E-10 7.541E-10 3.857E-10 3.892E-10 3.478E-10 2.475E-10
